ticker_symbol,security,GICS_sector,GICS_sub_industry,address_of_headquarters,date_first_added,CIK,founded
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",2011-09-26,1285785,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158,1891
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",2018-04-04,1408198,
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011)
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,36270,1856
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",2004-04-23,69499,
NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",2014-05-01,1593538,
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007-10-08,72207,
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",2008-10-22,1120193,
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,
NEM,Newmont Mining Corporation,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",2010-12-20,1065280,
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2010-12-20,912750,
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California",2018-03-19,906709,
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",2013-07-09,1492633,
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421,
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,1021860,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,1013871,
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",1999-06-25,1002047,
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",1989-04-30,814453,
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",2015-09-18,1564708,
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",2013-08-01,1564708,
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",,29989,1986
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1989-08-31,1341439,
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1982-12-31,797468,
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531,1971
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1378946,
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362,
PCG,PG&E Corp.,Utilities,Multi-Utilities,"San Francisco, California",,1004980,1905
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334,
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,75677,
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",2008-03-31,1413329,
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,
PNR,Pentair Ltd.,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,77360,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,1585364,
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15,78239,
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",1992-07-01,884905,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357,
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213,
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",2009-07-27,1087423,
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,1037038,
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,882835,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009-12-21,745732,
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",2007-12-21,315852,
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1034054,
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina",2009-01-02,754737,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",1997-06-02,316709,
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,719739,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",2015-03-20,1040971,
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",1982-09-30,91440,
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",2017-03-16,883241,
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040,
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",2008-11-19,861878,
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",1988-05-31,750556,
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-05,16918,
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",1982-09-30,93556,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127,
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",2003-03-25,849399,
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,
T,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30,24545,
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,1385157,
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000-06-21,98246,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",2011-12-21,1526520,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21,86312,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",2008-01-02,721683,
TTWO,Take-Two Interactive,Information Technology,Home Entertainment Software,"New York, NY",2018-03-19,946581,
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1105705,
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1336917,
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-03-25,1336917,
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517,
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568,
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,5513,
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1090727,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",2009-12-21,1403161,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,203527,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979-06-30,103379,
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1339947,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",2006-02-01,1014473,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009-07-01,106040,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,
WRK,WestRock Company,Materials,Paper Packaging,"Richmond, Virginia",,1636023,
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658,2006
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21,1168054,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
XL,XL Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159,1998
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",1999-11-08,743988,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",2008-11-14,818479,
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,1524472,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380,
